sample_id,fold_id,rank_in_trpool
49,0,1
3,0,2
176,0,3
191,0,4
287,0,5
215,0,6
293,0,7
140,0,8
110,0,9
36,0,10
87,0,11
95,0,12
92,0,13
114,0,14
161,0,15
124,0,16
83,0,17
310,0,18
28,0,19
210,0,20
158,0,21
89,0,22
205,0,23
16,0,24
31,0,25
318,0,26
207,0,27
76,0,28
275,0,29
173,0,30
307,0,31
168,0,32
100,0,33
11,0,34
200,0,35
237,0,36
25,0,37
45,0,38
27,0,39
269,0,40
192,0,41
289,0,42
165,0,43
216,0,44
125,0,45
162,0,46
97,0,47
238,0,48
252,0,49
278,0,50
50,0,51
133,0,52
4,0,53
155,0,54
150,0,55
177,0,56
297,0,57
147,0,58
41,0,59
141,0,60
159,0,61
320,0,62
151,0,63
187,0,64
1,0,65
217,0,66
285,0,67
319,0,68
268,0,69
48,0,70
313,0,71
258,0,72
156,0,73
75,0,74
115,0,75
129,0,76
201,0,77
250,0,78
53,0,79
225,0,80
52,0,81
74,0,82
203,0,83
211,0,84
90,0,85
283,0,86
7,0,87
54,0,88
244,0,89
292,0,90
80,0,91
300,0,92
70,0,93
123,0,94
290,0,95
309,0,96
137,0,97
312,0,98
169,0,99
35,0,100
183,0,101
43,0,102
91,0,103
212,0,104
231,0,105
226,0,106
82,0,107
259,0,108
30,0,109
291,0,110
118,0,111
189,0,112
99,0,113
109,0,114
113,0,115
111,0,116
61,0,117
228,0,118
10,0,119
65,0,120
60,0,121
79,0,122
108,0,123
9,0,124
22,0,125
197,0,126
122,0,127
94,0,128
295,0,129
12,0,130
281,0,131
145,0,132
51,0,133
235,0,134
85,0,135
148,0,136
66,0,137
23,0,138
234,0,139
263,0,140
17,0,141
44,0,142
248,0,143
251,0,144
86,0,145
247,0,146
270,0,147
185,0,148
163,0,149
179,0,150
8,0,151
153,0,152
315,0,153
167,0,154
14,0,155
64,0,156
236,0,157
246,0,158
181,0,159
62,0,160
221,0,161
71,0,162
301,0,163
190,0,164
276,0,165
296,0,166
78,0,167
316,0,168
146,0,169
308,0,170
206,0,171
5,0,172
304,0,173
193,0,174
152,0,175
284,0,176
93,0,177
32,0,178
230,0,179
67,0,180
288,0,181
271,0,182
223,0,183
15,0,184
245,0,185
218,0,186
136,0,187
21,0,188
13,0,189
195,0,190
321,0,191
180,0,192
214,0,193
19,0,194
188,0,195
68,0,196
88,0,197
257,0,198
277,0,199
204,0,200
227,0,201
224,0,202
107,0,203
58,0,204
84,0,205
154,0,206
39,0,207
202,0,208
117,0,209
6,0,210
220,0,211
106,0,212
264,0,213
242,0,214
266,0,215
280,0,216
135,0,217
116,0,218
222,0,219
298,0,220
172,0,221
18,0,222
134,0,223
305,0,224
273,0,225
143,0,226
33,0,227
317,0,228
286,0,229
219,0,230
249,0,231
69,0,232
229,0,233
131,0,234
101,0,235
302,0,236
119,0,237
261,0,238
213,0,239
128,0,240
112,0,241
274,0,242
255,0,243
56,0,244
240,0,245
198,0,246
194,0,247
120,0,248
232,0,249
182,0,250
303,0,251
209,0,252
