sample_id,fold_id,rank_in_trpool
232,4,1
30,4,2
32,4,3
292,4,4
50,4,5
106,4,6
20,4,7
45,4,8
193,4,9
47,4,10
254,4,11
282,4,12
301,4,13
123,4,14
110,4,15
135,4,16
242,4,17
261,4,18
235,4,19
164,4,20
173,4,21
170,4,22
269,4,23
199,4,24
29,4,25
304,4,26
4,4,27
132,4,28
274,4,29
270,4,30
104,4,31
141,4,32
201,4,33
79,4,34
287,4,35
5,4,36
299,4,37
65,4,38
151,4,39
40,4,40
192,4,41
206,4,42
176,4,43
2,4,44
38,4,45
233,4,46
81,4,47
101,4,48
180,4,49
202,4,50
139,4,51
124,4,52
290,4,53
184,4,54
14,4,55
108,4,56
87,4,57
119,4,58
49,4,59
257,4,60
74,4,61
174,4,62
305,4,63
247,4,64
134,4,65
245,4,66
204,4,67
52,4,68
149,4,69
215,4,70
168,4,71
218,4,72
296,4,73
54,4,74
77,4,75
283,4,76
69,4,77
276,4,78
147,4,79
303,4,80
37,4,81
27,4,82
279,4,83
159,4,84
309,4,85
220,4,86
223,4,87
78,4,88
302,4,89
172,4,90
286,4,91
182,4,92
111,4,93
118,4,94
122,4,95
120,4,96
61,4,97
226,4,98
12,4,99
64,4,100
155,4,101
76,4,102
117,4,103
10,4,104
158,4,105
131,4,106
48,4,107
72,4,108
8,4,109
128,4,110
112,4,111
60,4,112
207,4,113
26,4,114
103,4,115
211,4,116
156,4,117
41,4,118
148,4,119
102,4,120
73,4,121
31,4,122
15,4,123
234,4,124
53,4,125
28,4,126
221,4,127
21,4,128
43,4,129
308,4,130
251,4,131
84,4,132
272,4,133
175,4,134
194,4,135
9,4,136
162,4,137
177,4,138
17,4,139
63,4,140
213,4,141
278,4,142
197,4,143
62,4,144
70,4,145
293,4,146
205,4,147
288,4,148
244,4,149
75,4,150
306,4,151
152,4,152
300,4,153
6,4,154
253,4,155
208,4,156
161,4,157
227,4,158
105,4,159
33,4,160
229,4,161
66,4,162
284,4,163
268,4,164
19,4,165
240,4,166
145,4,167
25,4,168
16,4,169
210,4,170
311,4,171
196,4,172
231,4,173
24,4,174
203,4,175
67,4,176
90,4,177
249,4,178
259,4,179
219,4,180
246,4,181
243,4,182
116,4,183
56,4,184
80,4,185
163,4,186
39,4,187
217,4,188
127,4,189
7,4,190
237,4,191
115,4,192
266,4,193
289,4,194
143,4,195
126,4,196
241,4,197
291,4,198
183,4,199
22,4,200
142,4,201
297,4,202
150,4,203
34,4,204
307,4,205
236,4,206
275,4,207
68,4,208
248,4,209
140,4,210
113,4,211
129,4,212
285,4,213
230,4,214
136,4,215
121,4,216
294,4,217
280,4,218
55,4,219
264,4,220
212,4,221
209,4,222
130,4,223
252,4,224
198,4,225
225,4,226
