sample_id,fold_id,rank_in_trpool
276,0,1
31,0,2
33,0,3
292,0,4
48,0,5
105,0,6
19,0,7
44,0,8
183,0,9
45,0,10
254,0,11
302,0,12
294,0,13
122,0,14
107,0,15
136,0,16
283,0,17
258,0,18
231,0,19
166,0,20
170,0,21
168,0,22
287,0,23
199,0,24
30,0,25
259,0,26
3,0,27
133,0,28
272,0,29
270,0,30
103,0,31
142,0,32
200,0,33
81,0,34
286,0,35
4,0,36
298,0,37
64,0,38
153,0,39
40,0,40
181,0,41
205,0,42
175,0,43
1,0,44
37,0,45
228,0,46
83,0,47
88,0,48
177,0,49
201,0,50
139,0,51
124,0,52
290,0,53
180,0,54
12,0,55
106,0,56
85,0,57
116,0,58
47,0,59
255,0,60
75,0,61
171,0,62
306,0,63
251,0,64
135,0,65
244,0,66
203,0,67
49,0,68
150,0,69
215,0,70
167,0,71
217,0,72
284,0,73
52,0,74
79,0,75
282,0,76
70,0,77
288,0,78
147,0,79
303,0,80
36,0,81
28,0,82
249,0,83
159,0,84
310,0,85
219,0,86
221,0,87
80,0,88
278,0,89
169,0,90
300,0,91
178,0,92
108,0,93
115,0,94
121,0,95
118,0,96
60,0,97
223,0,98
11,0,99
63,0,100
155,0,101
78,0,102
114,0,103
10,0,104
158,0,105
131,0,106
46,0,107
72,0,108
8,0,109
127,0,110
109,0,111
56,0,112
206,0,113
27,0,114
102,0,115
210,0,116
157,0,117
41,0,118
149,0,119
89,0,120
74,0,121
32,0,122
13,0,123
229,0,124
51,0,125
29,0,126
220,0,127
22,0,128
43,0,129
240,0,130
245,0,131
84,0,132
305,0,133
173,0,134
194,0,135
9,0,136
162,0,137
176,0,138
16,0,139
62,0,140
214,0,141
237,0,142
196,0,143
61,0,144
71,0,145
293,0,146
204,0,147
232,0,148
252,0,149
76,0,150
307,0,151
154,0,152
299,0,153
6,0,154
309,0,155
207,0,156
160,0,157
224,0,158
104,0,159
34,0,160
225,0,161
66,0,162
271,0,163
18,0,164
269,0,165
146,0,166
26,0,167
14,0,168
209,0,169
311,0,170
195,0,171
227,0,172
24,0,173
202,0,174
68,0,175
86,0,176
277,0,177
257,0,178
218,0,179
246,0,180
241,0,181
112,0,182
54,0,183
82,0,184
164,0,185
39,0,186
216,0,187
126,0,188
7,0,189
235,0,190
111,0,191
264,0,192
273,0,193
145,0,194
125,0,195
238,0,196
291,0,197
179,0,198
23,0,199
144,0,200
297,0,201
152,0,202
35,0,203
308,0,204
234,0,205
274,0,206
69,0,207
250,0,208
141,0,209
110,0,210
129,0,211
285,0,212
226,0,213
137,0,214
119,0,215
295,0,216
281,0,217
53,0,218
263,0,219
213,0,220
208,0,221
130,0,222
253,0,223
197,0,224
222,0,225
