sample_id,fold_id,rank_in_trpool
227,3,1
29,3,2
31,3,3
293,3,4
49,3,5
104,3,6
20,3,7
45,3,8
184,3,9
46,3,10
250,3,11
279,3,12
300,3,13
122,3,14
106,3,15
137,3,16
236,3,17
258,3,18
230,3,19
166,3,20
172,3,21
169,3,22
266,3,23
197,3,24
28,3,25
303,3,26
2,3,27
134,3,28
271,3,29
268,3,30
101,3,31
144,3,32
198,3,33
82,3,34
288,3,35
3,3,36
298,3,37
66,3,38
155,3,39
40,3,40
183,3,41
204,3,42
175,3,43
1,3,44
36,3,45
228,3,46
84,3,47
88,3,48
178,3,49
199,3,50
141,3,51
123,3,52
291,3,53
182,3,54
14,3,55
105,3,56
86,3,57
114,3,58
48,3,59
251,3,60
75,3,61
173,3,62
304,3,63
243,3,64
135,3,65
241,3,66
202,3,67
50,3,68
153,3,69
212,3,70
167,3,71
214,3,72
296,3,73
53,3,74
78,3,75
280,3,76
70,3,77
273,3,78
150,3,79
302,3,80
35,3,81
26,3,82
277,3,83
160,3,84
310,3,85
216,3,86
219,3,87
79,3,88
301,3,89
171,3,90
285,3,91
179,3,92
107,3,93
113,3,94
120,3,95
115,3,96
61,3,97
222,3,98
13,3,99
65,3,100
157,3,101
77,3,102
112,3,103
11,3,104
159,3,105
133,3,106
47,3,107
73,3,108
9,3,109
126,3,110
108,3,111
60,3,112
205,3,113
25,3,114
90,3,115
209,3,116
158,3,117
43,3,118
151,3,119
89,3,120
74,3,121
30,3,122
15,3,123
229,3,124
51,3,125
27,3,126
217,3,127
21,3,128
44,3,129
308,3,130
247,3,131
85,3,132
269,3,133
174,3,134
192,3,135
10,3,136
163,3,137
177,3,138
18,3,139
64,3,140
211,3,141
275,3,142
195,3,143
63,3,144
71,3,145
294,3,146
203,3,147
289,3,148
238,3,149
76,3,150
306,3,151
156,3,152
299,3,153
5,3,154
249,3,155
206,3,156
161,3,157
223,3,158
102,3,159
32,3,160
224,3,161
67,3,162
281,3,163
263,3,164
19,3,165
233,3,166
149,3,167
24,3,168
17,3,169
208,3,170
311,3,171
193,3,172
226,3,173
23,3,174
200,3,175
68,3,176
87,3,177
246,3,178
255,3,179
215,3,180
242,3,181
237,3,182
111,3,183
55,3,184
83,3,185
164,3,186
38,3,187
213,3,188
125,3,189
7,3,190
232,3,191
110,3,192
261,3,193
290,3,194
148,3,195
124,3,196
235,3,197
292,3,198
181,3,199
22,3,200
146,3,201
297,3,202
154,3,203
33,3,204
307,3,205
231,3,206
272,3,207
69,3,208
245,3,209
143,3,210
109,3,211
128,3,212
283,3,213
225,3,214
140,3,215
117,3,216
295,3,217
278,3,218
54,3,219
259,3,220
210,3,221
207,3,222
132,3,223
248,3,224
196,3,225
220,3,226
