sample_id,fold_id,rank_in_trpool
231,2,1
31,2,2
34,2,3
289,2,4
51,2,5
105,2,6
18,2,7
46,2,8
179,2,9
47,2,10
254,2,11
277,2,12
299,2,13
127,2,14
109,2,15
137,2,16
241,2,17
258,2,18
234,2,19
164,2,20
169,2,21
167,2,22
266,2,23
192,2,24
29,2,25
304,2,26
2,2,27
135,2,28
270,2,29
268,2,30
103,2,31
143,2,32
193,2,33
83,2,34
283,2,35
3,2,36
296,2,37
66,2,38
152,2,39
40,2,40
178,2,41
200,2,42
172,2,43
1,2,44
38,2,45
232,2,46
85,2,47
89,2,48
174,2,49
194,2,50
140,2,51
128,2,52
286,2,53
177,2,54
12,2,55
107,2,56
87,2,57
121,2,58
50,2,59
255,2,60
77,2,61
170,2,62
305,2,63
247,2,64
136,2,65
244,2,66
196,2,67
52,2,68
149,2,69
209,2,70
166,2,71
212,2,72
294,2,73
54,2,74
81,2,75
279,2,76
71,2,77
273,2,78
147,2,79
303,2,80
37,2,81
26,2,82
275,2,83
160,2,84
310,2,85
216,2,86
218,2,87
82,2,88
301,2,89
168,2,90
282,2,91
175,2,92
113,2,93
120,2,94
126,2,95
123,2,96
62,2,97
221,2,98
11,2,99
65,2,100
154,2,101
80,2,102
119,2,103
9,2,104
157,2,105
134,2,106
48,2,107
73,2,108
6,2,109
131,2,110
114,2,111
60,2,112
201,2,113
25,2,114
101,2,115
206,2,116
156,2,117
41,2,118
148,2,119
90,2,120
74,2,121
32,2,122
13,2,123
233,2,124
53,2,125
27,2,126
217,2,127
20,2,128
44,2,129
309,2,130
250,2,131
86,2,132
269,2,133
171,2,134
180,2,135
8,2,136
162,2,137
173,2,138
16,2,139
64,2,140
208,2,141
274,2,142
182,2,143
63,2,144
72,2,145
290,2,146
198,2,147
284,2,148
243,2,149
79,2,150
307,2,151
153,2,152
298,2,153
4,2,154
253,2,155
202,2,156
161,2,157
222,2,158
104,2,159
35,2,160
224,2,161
67,2,162
280,2,163
264,2,164
17,2,165
238,2,166
146,2,167
24,2,168
15,2,169
204,2,170
311,2,171
181,2,172
230,2,173
23,2,174
195,2,175
68,2,176
88,2,177
249,2,178
257,2,179
214,2,180
245,2,181
242,2,182
118,2,183
56,2,184
84,2,185
163,2,186
39,2,187
211,2,188
130,2,189
5,2,190
237,2,191
117,2,192
263,2,193
285,2,194
145,2,195
129,2,196
240,2,197
287,2,198
176,2,199
21,2,200
144,2,201
295,2,202
151,2,203
36,2,204
308,2,205
236,2,206
271,2,207
69,2,208
248,2,209
142,2,210
116,2,211
132,2,212
281,2,213
228,2,214
139,2,215
125,2,216
291,2,217
276,2,218
55,2,219
261,2,220
207,2,221
203,2,222
133,2,223
252,2,224
184,2,225
219,2,226
