sample_id,fold_id,rank_in_trpool
46,3,1
2,3,2
166,3,3
180,3,4
279,3,5
205,3,6
278,3,7
135,3,8
105,3,9
37,3,10
85,3,11
95,3,12
91,3,13
112,3,14
155,3,15
123,3,16
81,3,17
309,3,18
29,3,19
200,3,20
151,3,21
88,3,22
195,3,23
18,3,24
31,3,25
317,3,26
197,3,27
75,3,28
271,3,29
165,3,30
305,3,31
160,3,32
98,3,33
12,3,34
189,3,35
229,3,36
26,3,37
42,3,38
27,3,39
259,3,40
182,3,41
307,3,42
158,3,43
206,3,44
124,3,45
156,3,46
96,3,47
230,3,48
245,3,49
272,3,50
47,3,51
129,3,52
3,3,53
149,3,54
142,3,55
167,3,56
293,3,57
140,3,58
39,3,59
136,3,60
153,3,61
301,3,62
144,3,63
174,3,64
1,3,65
207,3,66
287,3,67
318,3,68
258,3,69
44,3,70
312,3,71
249,3,72
150,3,73
74,3,74
113,3,75
126,3,76
190,3,77
243,3,78
52,3,79
216,3,80
50,3,81
73,3,82
192,3,83
201,3,84
89,3,85
275,3,86
8,3,87
53,3,88
235,3,89
286,3,90
78,3,91
296,3,92
71,3,93
122,3,94
284,3,95
265,3,96
134,3,97
311,3,98
162,3,99
36,3,100
172,3,101
40,3,102
90,3,103
202,3,104
223,3,105
217,3,106
80,3,107
250,3,108
30,3,109
285,3,110
117,3,111
176,3,112
97,3,113
104,3,114
109,3,115
106,3,116
59,3,117
220,3,118
11,3,119
63,3,120
57,3,121
77,3,122
103,3,123
10,3,124
24,3,125
187,3,126
121,3,127
93,3,128
288,3,129
13,3,130
274,3,131
138,3,132
49,3,133
226,3,134
83,3,135
141,3,136
66,3,137
25,3,138
225,3,139
266,3,140
19,3,141
41,3,142
241,3,143
244,3,144
84,3,145
238,3,146
261,3,147
173,3,148
157,3,149
168,3,150
9,3,151
147,3,152
313,3,153
159,3,154
15,3,155
62,3,156
227,3,157
237,3,158
170,3,159
61,3,160
211,3,161
72,3,162
320,3,163
178,3,164
270,3,165
290,3,166
76,3,167
314,3,168
139,3,169
306,3,170
196,3,171
5,3,172
302,3,173
183,3,174
145,3,175
276,3,176
92,3,177
33,3,178
222,3,179
67,3,180
281,3,181
282,3,182
214,3,183
17,3,184
236,3,185
208,3,186
133,3,187
23,3,188
14,3,189
186,3,190
321,3,191
169,3,192
204,3,193
22,3,194
175,3,195
69,3,196
87,3,197
248,3,198
255,3,199
193,3,200
218,3,201
215,3,202
102,3,203
252,3,204
55,3,205
82,3,206
148,3,207
38,3,208
191,3,209
116,3,210
7,3,211
210,3,212
101,3,213
253,3,214
233,3,215
254,3,216
273,3,217
132,3,218
114,3,219
213,3,220
294,3,221
164,3,222
20,3,223
130,3,224
303,3,225
263,3,226
137,3,227
34,3,228
315,3,229
277,3,230
209,3,231
242,3,232
70,3,233
221,3,234
127,3,235
99,3,236
299,3,237
118,3,238
251,3,239
203,3,240
125,3,241
108,3,242
264,3,243
247,3,244
54,3,245
232,3,246
188,3,247
184,3,248
119,3,249
224,3,250
171,3,251
300,3,252
199,3,253
