sample_id,fold_id
178,0
208,0
144,0
96,0
186,0
77,0
72,0
138,0
47,0
73,0
243,0
38,0
42,0
311,0
199,0
164,0
265,0
2,0
46,0
132,0
196,0
29,0
102,0
59,0
175,0
20,0
253,0
170,0
63,0
130,0
126,0
272,0
314,0
149,0
104,0
241,0
233,0
121,0
254,0
57,0
157,0
55,0
174,0
98,0
40,0
184,0
142,0
139,0
81,0
306,0
166,0
299,0
26,0
24,0
294,0
282,0
37,0
103,0
127,0
160,0
34,0
105,0
171,0
279,0
17,1
117,1
49,1
108,1
106,1
33,1
173,1
133,1
247,1
148,1
129,1
215,1
270,1
159,1
309,1
134,1
109,1
123,1
137,1
87,1
172,1
145,1
287,1
141,1
227,1
3,1
221,1
206,1
30,1
300,1
276,1
22,1
290,1
237,1
242,1
191,1
83,1
302,1
301,1
41,1
278,1
226,1
169,1
89,1
190,1
156,1
14,1
113,1
44,1
182,1
321,1
251,1
95,1
118,1
232,1
101,1
23,1
136,1
236,1
303,1
205,1
201,1
85,1
116,2
220,2
195,2
274,2
80,2
70,2
167,2
53,2
193,2
204,2
155,2
271,2
5,2
252,2
180,2
82,2
200,2
153,2
217,2
52,2
213,2
31,2
296,2
168,2
258,2
76,2
27,2
151,2
114,2
36,2
312,2
99,2
176,2
211,2
140,2
285,2
162,2
315,2
202,2
318,2
124,2
250,2
91,2
119,2
74,2
90,2
225,2
50,2
277,2
18,2
307,2
13,2
93,2
222,2
281,2
9,2
275,2
235,2
61,2
207,2
218,2
158,2
305,2
291,3
45,3
48,3
177,3
131,3
115,3
212,3
64,3
120,3
308,3
194,3
283,3
198,3
43,3
32,3
257,3
228,3
310,3
4,3
292,3
6,3
240,3
268,3
94,3
60,3
128,3
152,3
246,3
51,3
100,3
295,3
319,3
219,3
58,3
79,3
297,3
304,3
107,3
86,3
231,3
289,3
154,3
280,3
163,3
111,3
269,3
65,3
21,3
16,3
68,3
143,3
234,3
110,3
316,3
146,3
28,3
35,3
161,3
181,3
179,3
56,3
185,3
298,3
150,4
288,4
122,4
261,4
284,4
62,4
75,4
125,4
67,4
245,4
259,4
69,4
147,4
293,4
223,4
264,4
230,4
224,4
320,4
203,4
248,4
25,4
266,4
84,4
19,4
12,4
317,4
78,4
97,4
135,4
1,4
71,4
216,4
92,4
112,4
8,4
273,4
192,4
183,4
229,4
238,4
165,4
249,4
15,4
11,4
39,4
214,4
210,4
244,4
66,4
189,4
255,4
313,4
7,4
54,4
209,4
286,4
88,4
10,4
263,4
187,4
197,4
188,4
